Date,Close
1/2/1980 23:58:00,237.4722
1/3/1980 23:58:00,235.8616
1/4/1980 23:58:00,237.0026
1/7/1980 23:58:00,232.8693
1/8/1980 23:58:00,233.3623
1/9/1980 23:58:00,234.2514
1/10/1980 23:58:00,234.2514
1/11/1980 23:58:00,235.6344
1/14/1980 23:58:00,236.0818
1/15/1980 23:58:00,235.5765
1/16/1980 23:58:00,238.0449
1/17/1980 23:58:00,237.9029
1/18/1980 23:58:00,238.8618
1/21/1980 23:58:00,239.4188
1/22/1980 23:58:00,239.7742
1/23/1980 23:58:00,236.62
1/24/1980 23:58:00,237.9401
1/25/1980 23:58:00,238.4005
1/28/1980 23:58:00,239.2896
1/29/1980 23:58:00,239.0777
1/30/1980 23:58:00,238.2502
1/31/1980 23:58:00,238.214
2/1/1980 23:58:00,239.7233
2/4/1980 23:58:00,239.8506
2/5/1980 23:58:00,239.018
2/6/1980 23:58:00,239.1658
2/7/1980 23:58:00,239.7354
2/8/1980 23:58:00,240.0972
2/11/1980 23:58:00,240.69
2/12/1980 23:58:00,240.9161
2/13/1980 23:58:00,241.008
2/14/1980 23:58:00,242.4894
2/15/1980 23:58:00,242.7327
2/18/1980 23:58:00,244.2048
2/19/1980 23:58:00,244.5591
2/20/1980 23:58:00,245.3318
2/21/1980 23:58:00,245.309
2/22/1980 23:58:00,246.1141
2/25/1980 23:58:00,247.7191
2/26/1980 23:58:00,247.2285
2/27/1980 23:58:00,247.5708
2/28/1980 23:58:00,247.3969
2/29/1980 23:58:00,249.1529
3/3/1980 23:58:00,247.6721
3/4/1980 23:58:00,245.246
3/5/1980 23:58:00,246.6652
3/6/1980 23:58:00,247.0108
3/7/1980 23:58:00,247.8386
3/10/1980 23:58:00,247.2393
3/11/1980 23:58:00,246.7278
3/12/1980 23:58:00,246.2716
3/13/1980 23:58:00,246.7654
3/14/1980 23:58:00,248.3153
3/17/1980 23:58:00,248.9913
3/18/1980 23:58:00,248.6229
3/19/1980 23:58:00,248.1897
3/20/1980 23:58:00,247.6554
3/21/1980 23:58:00,248.572
3/24/1980 23:58:00,248.2064
3/25/1980 23:58:00,248.3661
3/26/1980 23:58:00,248.089
3/27/1980 23:58:00,248.9987
3/28/1980 23:58:00,249.0127
3/31/1980 23:58:00,249.4621
4/1/1980 23:58:00,252.6565
4/2/1980 23:58:00,255.3766
4/8/1980 23:58:00,260.4636
4/9/1980 23:58:00,253.6957
4/10/1980 23:58:00,248.7097
4/11/1980 23:58:00,250.6307
4/14/1980 23:58:00,251.1663
4/15/1980 23:58:00,250.6823
4/16/1980 23:58:00,251.1315
4/17/1980 23:58:00,247.179
4/18/1980 23:58:00,247.8512
4/21/1980 23:58:00,249.9135
4/23/1980 23:58:00,247.4238
4/24/1980 23:58:00,244.6329
4/25/1980 23:58:00,245.0904
4/28/1980 23:58:00,242.129
4/29/1980 23:58:00,237.7594
4/30/1980 23:58:00,237.679
5/1/1980 23:58:00,238.429
5/5/1980 23:58:00,238.5327
5/6/1980 23:58:00,232.988
5/7/1980 23:58:00,231.6832
5/8/1980 23:58:00,232.0222
5/9/1980 23:58:00,232.3632
5/12/1980 23:58:00,227.5453
5/13/1980 23:58:00,226.4296
5/14/1980 23:58:00,226.32
5/16/1980 23:58:00,226.4174
5/19/1980 23:58:00,228.7977
5/20/1980 23:58:00,227.0913
5/21/1980 23:58:00,223.8266
5/22/1980 23:58:00,223.9126
5/23/1980 23:58:00,221.8526
5/27/1980 23:58:00,219.2857
5/28/1980 23:58:00,222.5015
5/29/1980 23:58:00,223.1033
5/30/1980 23:58:00,224.2442
6/2/1980 23:58:00,221.4745
6/3/1980 23:58:00,222.8074
